Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:46:48:985,0,-5.11687,-2.03405,-40.2737
2023-03-11 22:46:48:995,0,-5.10539,-2.02353,-40.2944
2023-03-11 22:46:49:5,0,-5.09335,-2.01495,-40.3086
2023-03-11 22:46:49:15,0,-5.08247,-2.00856,-40.3135
2023-03-11 22:46:49:25,0,-5.06541,-2.00371,-40.3086
2023-03-11 22:46:49:34,0,-5.04326,-1.99691,-40.2915
2023-03-11 22:46:49:45,0,-5.03318,-1.98359,-40.2616
2023-03-11 22:46:49:54,0,-5.04088,-1.96066,-40.2274
2023-03-11 22:46:49:64,0,-5.05431,-1.92864,-40.1959
2023-03-11 22:46:49:74,0,-5.06117,-1.89559,-40.1723
2023-03-11 22:46:49:84,0,-5.0613,-1.85404,-40.1574
2023-03-11 22:46:49:94,0,-5.04827,-1.81024,-40.1414
2023-03-11 22:46:49:104,0,-5.01933,-1.77272,-40.126
2023-03-11 22:46:49:114,0,-4.97249,-1.74613,-40.1087
2023-03-11 22:46:49:124,0,-4.91679,-1.72468,-40.0893
2023-03-11 22:46:49:134,0,-4.8548,-1.71189,-40.0677
2023-03-11 22:46:49:145,0,-4.78977,-1.70105,-40.042
2023-03-11 22:46:49:154,0,-4.73364,-1.68825,-40.0112
2023-03-11 22:46:49:164,0,-4.68182,-1.68473,-39.9758
2023-03-11 22:46:49:174,0,-4.63881,-1.68416,-39.9399
2023-03-11 22:46:49:184,0,-4.60209,-1.69406,-39.9012
2023-03-11 22:46:49:195,0,-4.57165,-1.70462,-39.8687
2023-03-11 22:46:49:205,0,-4.53934,-1.70725,-39.837
2023-03-11 22:46:49:214,0,-4.5193,-1.70626,-39.8039
2023-03-11 22:46:49:224,0,-4.51362,-1.70497,-39.7798
2023-03-11 22:46:49:234,0,-4.52522,-1.69421,-39.7689
2023-03-11 22:46:49:245,0,-4.54854,-1.67713,-39.7667
2023-03-11 22:46:49:254,0,-4.57683,-1.65256,-39.7641
2023-03-11 22:46:49:264,0,-4.60678,-1.62703,-39.7599
2023-03-11 22:46:49:274,0,-4.62836,-1.60582,-39.7549
2023-03-11 22:46:49:284,0,-4.62164,-1.59182,-39.7385
2023-03-11 22:46:49:294,0,-4.58236,-1.57782,-39.7129
2023-03-11 22:46:49:304,0,-4.52795,-1.56237,-39.6866
2023-03-11 22:46:49:315,0,-4.46584,-1.54086,-39.6522
2023-03-11 22:46:49:325,0,-4.42988,-1.51638,-39.6082
2023-03-11 22:46:49:335,0,-4.42959,-1.49004,-39.5661
2023-03-11 22:46:49:344,0,-4.45205,-1.46825,-39.5274
2023-03-11 22:46:49:354,0,-4.48168,-1.45259,-39.4977
2023-03-11 22:46:49:365,0,-4.51028,-1.43384,-39.4724
2023-03-11 22:46:49:374,0,-4.54361,-1.41132,-39.453
2023-03-11 22:46:49:384,0,-4.57678,-1.38868,-39.4368
2023-03-11 22:46:49:394,0,-4.58027,-1.36828,-39.4257
2023-03-11 22:46:49:404,0,-4.56538,-1.34483,-39.4125
2023-03-11 22:46:49:414,0,-4.55518,-1.32199,-39.4036
2023-03-11 22:46:49:425,0,-4.5492,-1.29696,-39.3948
2023-03-11 22:46:49:434,0,-4.54617,-1.26834,-39.3971
2023-03-11 22:46:49:445,0,-4.57366,-1.23288,-39.3965
2023-03-11 22:46:49:455,0,-4.64777,-1.18713,-39.3915
2023-03-11 22:46:49:465,0,-4.74741,-1.15054,-39.3829
2023-03-11 22:46:49:475,0,-4.8404,-1.13405,-39.3714
2023-03-11 22:46:49:485,0,-4.91915,-1.12883,-39.356
2023-03-11 22:46:49:495,0,-4.98473,-1.12816,-39.3304
2023-03-11 22:46:49:505,0,-5.04561,-1.13635,-39.3055
2023-03-11 22:46:49:515,0,-5.0941,-1.14823,-39.2815
2023-03-11 22:46:49:525,0,-5.11859,-1.16045,-39.2631
2023-03-11 22:46:49:535,0,-5.12398,-1.16539,-39.2316
2023-03-11 22:46:49:545,0,-5.13351,-1.16482,-39.1874
2023-03-11 22:46:49:555,0,-5.16042,-1.16403,-39.1391
2023-03-11 22:46:49:565,0,-5.20093,-1.16195,-39.0966
2023-03-11 22:46:49:575,0,-5.2484,-1.16547,-39.061
2023-03-11 22:46:49:585,0,-5.28405,-1.16725,-39.0272
