Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 17:23:23:456,0,-2.79551,-0.878159,86.2912
2023-03-11 17:23:23:466,0,-2.81439,-0.87392,86.2781
2023-03-11 17:23:23:476,0,-2.82002,-0.875111,86.2661
2023-03-11 17:23:23:486,0,-2.81971,-0.878073,86.2513
2023-03-11 17:23:23:496,0,-2.80341,-0.88142,86.2384
2023-03-11 17:23:23:506,0,-2.78391,-0.889252,86.2275
2023-03-11 17:23:23:516,0,-2.75184,-0.892267,86.2179
2023-03-11 17:23:23:526,0,-2.72291,-0.892926,86.2162
2023-03-11 17:23:23:536,0,-2.69919,-0.890104,86.2151
2023-03-11 17:23:23:546,0,-2.6695,-0.880539,86.2172
2023-03-11 17:23:23:556,0,-2.64337,-0.864107,86.2201
2023-03-11 17:23:23:566,0,-2.60597,-0.841891,86.2236
2023-03-11 17:23:23:576,0,-2.56086,-0.814516,86.224
2023-03-11 17:23:23:586,0,-2.50528,-0.785347,86.2225
2023-03-11 17:23:23:596,0,-2.45012,-0.747176,86.2127
2023-03-11 17:23:23:606,0,-2.39104,-0.703583,86.1922
2023-03-11 17:23:23:616,0,-2.33864,-0.663632,86.1646
2023-03-11 17:23:23:626,0,-2.29804,-0.621756,86.1388
2023-03-11 17:23:23:636,0,-2.26539,-0.586297,86.1075
2023-03-11 17:23:23:646,0,-2.23675,-0.557038,86.0816
2023-03-11 17:23:23:656,0,-2.21418,-0.526096,86.0585
2023-03-11 17:23:23:666,0,-2.20021,-0.483724,86.0404
2023-03-11 17:23:23:676,0,-2.18768,-0.438215,86.0229
2023-03-11 17:23:23:686,0,-2.18697,-0.394596,86.0046
2023-03-11 17:23:23:696,0,-2.19982,-0.361086,85.9972
2023-03-11 17:23:23:706,0,-2.22313,-0.332968,85.9973
2023-03-11 17:23:23:716,0,-2.26106,-0.31586,86.0053
2023-03-11 17:23:23:726,0,-2.30194,-0.305375,86.0165
2023-03-11 17:23:23:736,0,-2.35267,-0.301736,86.034
2023-03-11 17:23:23:746,0,-2.41046,-0.310601,86.0582
2023-03-11 17:23:23:756,0,-2.46713,-0.327069,86.088
2023-03-11 17:23:23:766,0,-2.52317,-0.351196,86.118
2023-03-11 17:23:23:776,0,-2.57857,-0.374901,86.1465
2023-03-11 17:23:23:786,0,-2.62242,-0.400362,86.1735
2023-03-11 17:23:23:796,0,-2.66598,-0.4266,86.2001
2023-03-11 17:23:23:806,0,-2.7132,-0.459587,86.2207
2023-03-11 17:23:23:816,0,-2.76517,-0.498146,86.2424
2023-03-11 17:23:23:826,0,-2.81511,-0.542699,86.2693
2023-03-11 17:23:23:836,0,-2.86126,-0.593285,86.2977
2023-03-11 17:23:23:846,0,-2.89961,-0.640453,86.3273
