Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta,voice_type,voice_length
2023-03-15 11:42:54:168,0,-79.7624,0.487513,77.9037,Q,Q
2023-03-15 11:42:54:178,0,-79.7611,0.489167,77.9029,Q,Q
2023-03-15 11:42:54:188,0,-79.7624,0.486935,77.9035,Q,Q
2023-03-15 11:42:54:198,0,-79.7584,0.487407,77.9051,Q,Q
2023-03-15 11:42:54:208,0,-79.7606,0.488458,77.9061,Q,Q
2023-03-15 11:42:54:218,0,-79.7595,0.484971,77.9041,Q,Q
2023-03-15 11:42:54:228,0,-79.7572,0.483757,77.9037,Q,Q
2023-03-15 11:42:54:238,0,-79.7595,0.484185,77.9016,Q,Q
2023-03-15 11:42:54:248,0,-79.7565,0.485172,77.9032,Q,Q
2023-03-15 11:42:54:258,0,-79.7586,0.486148,77.9034,Q,Q
2023-03-15 11:42:54:268,0,-79.7616,0.48747,77.9004,Q,Q
2023-03-15 11:42:54:279,0,-79.762,0.486091,77.9003,Q,Q
2023-03-15 11:42:54:288,0,-79.7655,0.486075,77.9025,Q,Q
2023-03-15 11:42:54:298,0,-79.7659,0.488641,77.9016,Q,Q
2023-03-15 11:42:54:308,0,-79.7649,0.488602,77.9015,Q,Q
2023-03-15 11:42:54:318,0,-79.7659,0.488022,77.8989,Q,Q
2023-03-15 11:42:54:328,0,-79.7697,0.487161,77.8947,Q,Q
2023-03-15 11:42:54:338,0,-79.7709,0.485154,77.8932,Q,Q
2023-03-15 11:42:54:348,0,-79.7727,0.486483,77.8889,Q,Q
2023-03-15 11:42:54:358,0,-79.7724,0.488582,77.8902,Q,Q
2023-03-15 11:42:54:368,0,-79.7708,0.486359,77.8882,Q,Q
2023-03-15 11:42:54:378,0,-79.7735,0.485505,77.8856,Q,Q
2023-03-15 11:42:54:388,0,-79.779,0.484617,77.8841,Q,Q
2023-03-15 11:42:54:398,0,-79.7811,0.483186,77.8832,Q,Q
2023-03-15 11:42:54:408,0,-79.7794,0.482657,77.8844,Q,Q
2023-03-15 11:42:54:418,0,-79.7804,0.485777,77.8835,Q,Q
2023-03-15 11:42:54:428,0,-79.778,0.485788,77.8814,Q,Q
2023-03-15 11:42:54:438,0,-79.7771,0.487211,77.8808,Q,Q
2023-03-15 11:42:54:448,0,-79.7792,0.484237,77.8814,Q,Q
2023-03-15 11:42:54:458,0,-79.7791,0.48404,77.8833,Q,Q
2023-03-15 11:42:54:468,0,-79.7796,0.48242,77.8844,Q,Q
2023-03-15 11:42:54:478,0,-79.7776,0.48116,77.8836,Q,Q
2023-03-15 11:42:54:488,0,-79.7805,0.480774,77.8823,Q,Q
2023-03-15 11:42:54:498,0,-79.7809,0.483474,77.8821,Q,Q
2023-03-15 11:42:54:508,0,-79.7811,0.481996,77.8835,Q,Q
2023-03-15 11:42:54:518,0,-79.7796,0.479671,77.8835,Q,Q
2023-03-15 11:42:54:528,0,-79.7792,0.479512,77.8838,Q,Q
2023-03-15 11:42:54:538,0,-79.7818,0.477901,77.8827,Q,Q
2023-03-15 11:42:54:548,0,-79.7817,0.475936,77.8848,Q,Q
2023-03-15 11:42:54:558,0,-79.7821,0.479324,77.8844,Q,Q
2023-03-15 11:42:54:568,0,-79.7831,0.477895,77.881,Q,Q
2023-03-15 11:42:54:578,0,-79.7827,0.477824,77.8809,Q,Q
2023-03-15 11:42:54:588,0,-79.7861,0.475885,77.8818,Q,Q
2023-03-15 11:42:54:598,0,-79.7889,0.475087,77.8791,Q,Q
2023-03-15 11:42:54:608,0,-79.7919,0.472176,77.8768,Q,Q
2023-03-15 11:42:54:618,0,-79.7879,0.472804,77.8751,Q,Q
2023-03-15 11:42:54:628,0,-79.7866,0.475472,77.8736,Q,Q
2023-03-15 11:42:54:638,0,-79.7888,0.477289,77.87,Q,Q
2023-03-15 11:42:54:648,0,-79.7888,0.476775,77.8682,Q,Q
2023-03-15 11:42:54:658,0,-79.7893,0.478114,77.8687,Q,Q
2023-03-15 11:42:54:668,0,-79.7882,0.481531,77.8709,Q,Q
2023-03-15 11:42:54:678,0,-79.7896,0.479718,77.871,Q,Q
2023-03-15 11:42:54:688,0,-79.7913,0.478988,77.8713,Q,Q
2023-03-15 11:42:54:698,0,-79.7934,0.479403,77.8725,Q,Q
2023-03-15 11:42:54:708,0,-79.7912,0.480218,77.8685,Q,Q
2023-03-15 11:42:54:718,0,-79.7915,0.481261,77.865,Q,Q
2023-03-15 11:42:54:728,0,-79.7908,0.48066,77.8603,Q,Q
2023-03-15 11:42:54:738,0,-79.7933,0.4827,77.8592,Q,Q
2023-03-15 11:42:54:748,0,-79.7951,0.482824,77.8564,Q,Q
2023-03-15 11:42:54:758,0,-79.7951,0.482659,77.8552,Q,Q
2023-03-15 11:42:54:768,0,-79.7918,0.481615,77.8531,Q,Q
2023-03-15 11:42:54:778,0,-79.792,0.483603,77.8549,Q,Q
2023-03-15 11:42:54:788,0,-79.7901,0.484201,77.8534,Q,Q
2023-03-15 11:42:54:798,0,-79.7929,0.484946,77.8507,Q,Q
2023-03-15 11:42:54:808,0,-79.7939,0.484963,77.8483,Q,Q
2023-03-15 11:42:54:818,0,-79.7978,0.486041,77.8505,Q,Q
2023-03-15 11:42:54:828,0,-79.8005,0.486547,77.8479,Q,Q
2023-03-15 11:42:54:838,0,-79.8002,0.487447,77.8463,Q,Q
2023-03-15 11:42:54:848,0,-79.8012,0.489275,77.8433,Q,Q
2023-03-15 11:42:54:858,0,-79.8,0.485094,77.8427,Q,Q
2023-03-15 11:42:54:868,0,-79.7986,0.484808,77.8439,Q,Q
2023-03-15 11:42:54:878,0,-79.7995,0.487048,77.8421,Q,Q
2023-03-15 11:42:54:888,0,-79.7962,0.486069,77.8433,Q,Q
2023-03-15 11:42:54:898,0,-79.793,0.483473,77.8438,Q,Q
2023-03-15 11:42:54:908,0,-79.7892,0.484004,77.8449,Q,Q
2023-03-15 11:42:54:918,0,-79.7845,0.484265,77.843,Q,Q
2023-03-15 11:42:54:928,0,-79.7837,0.482481,77.844,Q,Q
2023-03-15 11:42:54:938,0,-79.7801,0.480028,77.8447,Q,Q
2023-03-15 11:42:54:948,0,-79.7798,0.478853,77.844,Q,Q
2023-03-15 11:42:54:958,0,-79.7779,0.479839,77.844,Q,Q
2023-03-15 11:42:54:968,0,-79.779,0.476482,77.8427,Q,Q
2023-03-15 11:42:54:978,0,-79.7796,0.477324,77.8427,Q,Q
2023-03-15 11:42:54:988,0,-79.7775,0.48054,77.8415,Q,Q
2023-03-15 11:42:54:998,0,-79.7772,0.483524,77.8421,Q,Q
2023-03-15 11:42:55:8,0,-79.7793,0.484853,77.8453,Q,Q
2023-03-15 11:42:55:18,0,-79.779,0.486413,77.8438,Q,Q
2023-03-15 11:42:55:28,0,-79.779,0.489771,77.8427,Q,Q
2023-03-15 11:42:55:38,0,-79.7749,0.489905,77.8405,Q,Q
2023-03-15 11:42:55:48,0,-79.7782,0.493055,77.8399,Q,Q
2023-03-15 11:42:55:58,0,-79.7801,0.489331,77.839,Q,Q
2023-03-15 11:42:55:68,0,-79.7801,0.492003,77.8379,Q,Q
2023-03-15 11:42:55:78,0,-79.7802,0.491736,77.8356,Q,Q
2023-03-15 11:42:55:88,0,-79.7817,0.492644,77.8347,Q,Q
2023-03-15 11:42:55:98,0,-79.7821,0.492168,77.8357,Q,Q
2023-03-15 11:42:55:108,0,-79.7861,0.492192,77.8345,Q,Q
2023-03-15 11:42:55:118,0,-79.7844,0.49553,77.8344,Q,Q
2023-03-15 11:42:55:128,0,-79.7836,0.499294,77.8313,Q,Q
2023-03-15 11:42:55:138,0,-79.7823,0.500551,77.8295,Q,Q
2023-03-15 11:42:55:148,0,-79.7818,0.500061,77.8282,Q,Q
2023-03-15 11:42:55:158,0,-79.7813,0.499135,77.8264,Q,Q
2023-03-15 11:42:55:168,0,-79.7842,0.499822,77.827,Q,Q
2023-03-15 11:42:55:178,0,-79.7816,0.497629,77.8273,Q,Q
2023-03-15 11:42:55:188,0,-79.7804,0.496641,77.8266,Q,Q
2023-03-15 11:42:55:198,0,-79.7827,0.495325,77.8267,Q,Q
2023-03-15 11:42:55:208,0,-79.7833,0.498243,77.8287,Q,Q
2023-03-15 11:42:55:218,0,-79.7836,0.498903,77.8284,Q,Q
2023-03-15 11:42:55:228,0,-79.7824,0.4993,77.8287,Q,Q
2023-03-15 11:42:55:238,0,-79.784,0.500963,77.8297,Q,Q
2023-03-15 11:42:55:248,0,-79.7818,0.501738,77.8336,Q,Q
2023-03-15 11:42:55:258,0,-79.782,0.502016,77.8312,Q,Q
2023-03-15 11:42:55:268,0,-79.779,0.503223,77.8286,Q,Q
2023-03-15 11:42:55:278,0,-79.7756,0.504208,77.8301,Q,Q
2023-03-15 11:42:55:288,0,-79.7768,0.503419,77.8318,Q,Q
2023-03-15 11:42:55:298,0,-79.7761,0.50449,77.8321,Q,Q
2023-03-15 11:42:55:308,0,-79.7762,0.502574,77.831,Q,Q
2023-03-15 11:42:55:318,0,-79.7816,0.49983,77.8304,Q,Q
2023-03-15 11:42:55:328,0,-79.7821,0.502636,77.8293,Q,Q
2023-03-15 11:42:55:338,0,-79.7802,0.502402,77.8281,Q,Q
2023-03-15 11:42:55:348,0,-79.7827,0.502897,77.8289,Q,Q
2023-03-15 11:42:55:358,0,-79.782,0.503263,77.829,Q,Q
2023-03-15 11:42:55:368,0,-79.7775,0.502718,77.8288,Q,Q
2023-03-15 11:42:55:378,0,-79.7812,0.50523,77.827,Q,Q
2023-03-15 11:42:55:388,0,-79.7826,0.5031,77.8257,Q,Q
2023-03-15 11:42:55:398,0,-79.7863,0.501766,77.8277,Q,Q
2023-03-15 11:42:55:408,0,-79.7893,0.504617,77.8242,Q,Q
2023-03-15 11:42:55:418,0,-79.7869,0.505558,77.8223,Q,Q
2023-03-15 11:42:55:428,0,-79.787,0.507767,77.8223,Q,Q
2023-03-15 11:42:55:438,0,-79.7868,0.508853,77.8215,Q,Q
2023-03-15 11:42:55:448,0,-79.7844,0.50806,77.8217,Q,Q
2023-03-15 11:42:55:458,0,-79.7834,0.508108,77.8222,Q,Q
2023-03-15 11:42:55:468,0,-79.7885,0.508595,77.8196,Q,Q
2023-03-15 11:42:55:478,0,-79.7887,0.506223,77.8191,Q,Q
2023-03-15 11:42:55:488,0,-79.7867,0.506035,77.8196,Q,Q
2023-03-15 11:42:55:498,0,-79.7853,0.503902,77.8166,Q,Q
2023-03-15 11:42:55:508,0,-79.7872,0.50256,77.8147,Q,Q
2023-03-15 11:42:55:518,0,-79.7868,0.502255,77.8117,Q,Q
2023-03-15 11:42:55:528,0,-79.7848,0.502074,77.8119,Q,Q
2023-03-15 11:42:55:538,0,-79.7849,0.504629,77.8133,Q,Q
2023-03-15 11:42:55:548,0,-79.7865,0.504854,77.8118,Q,Q
