Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 21:09:19:635,0,-10.9424,0.785677,89.8356
2023-03-11 21:09:19:645,0,-10.9209,0.761633,89.8429
2023-03-11 21:09:19:655,0,-10.8936,0.746681,89.8471
2023-03-11 21:09:19:665,0,-10.8579,0.737446,89.8497
2023-03-11 21:09:19:675,0,-10.8197,0.742195,89.8518
2023-03-11 21:09:19:685,0,-10.7857,0.752307,89.8502
2023-03-11 21:09:19:695,0,-10.7638,0.772094,89.8412
2023-03-11 21:09:19:705,0,-10.7626,0.800026,89.8284
2023-03-11 21:09:19:715,0,-10.7795,0.832739,89.8066
2023-03-11 21:09:19:725,0,-10.8245,0.86946,89.7791
2023-03-11 21:09:19:735,0,-10.8944,0.895033,89.7483
2023-03-11 21:09:19:745,0,-10.991,0.914491,89.7129
2023-03-11 21:09:19:755,0,-11.1132,0.928294,89.6765
2023-03-11 21:09:19:765,0,-11.2512,0.945947,89.6408
2023-03-11 21:09:19:775,0,-11.3907,0.970696,89.611
2023-03-11 21:09:19:785,0,-11.5321,0.999679,89.586
2023-03-11 21:09:19:795,0,-11.6801,1.02312,89.567
2023-03-11 21:09:19:805,0,-11.8318,1.04625,89.5463
2023-03-11 21:09:19:815,0,-11.9877,1.06668,89.5264
2023-03-11 21:09:19:825,0,-12.1443,1.09103,89.5084
2023-03-11 21:09:19:835,0,-12.295,1.1171,89.4863
2023-03-11 21:09:19:845,0,-12.4425,1.14368,89.4698
2023-03-11 21:09:19:855,0,-12.5869,1.17343,89.4522
2023-03-11 21:09:19:865,0,-12.7298,1.19851,89.4304
2023-03-11 21:09:19:875,0,-12.8746,1.22798,89.4103
2023-03-11 21:09:19:885,0,-13.0172,1.24855,89.3889
2023-03-11 21:09:19:895,0,-13.1593,1.26267,89.3683
2023-03-11 21:09:19:905,0,-13.2883,1.26892,89.3466
2023-03-11 21:09:19:915,0,-13.405,1.26855,89.3263
2023-03-11 21:09:19:925,0,-13.4989,1.2687,89.3017
2023-03-11 21:09:19:935,0,-13.5736,1.27245,89.2769
2023-03-11 21:09:19:945,0,-13.6256,1.28234,89.2467
2023-03-11 21:09:19:955,0,-13.6683,1.29663,89.2116
2023-03-11 21:09:19:965,0,-13.709,1.31198,89.1761
2023-03-11 21:09:19:975,0,-13.7479,1.32463,89.1402
2023-03-11 21:09:19:985,0,-13.7898,1.32643,89.1043
2023-03-11 21:09:19:995,0,-13.8361,1.32161,89.0695
2023-03-11 21:09:20:5,0,-13.8772,1.31134,89.0362
2023-03-11 21:09:20:15,0,-13.9043,1.30161,89.0068
2023-03-11 21:09:20:25,0,-13.9123,1.30623,88.9768
2023-03-11 21:09:20:35,0,-13.9024,1.32026,88.9516
2023-03-11 21:09:20:45,0,-13.8788,1.35126,88.9207
2023-03-11 21:09:20:55,0,-13.854,1.37872,88.8932
2023-03-11 21:09:20:65,0,-13.8366,1.40864,88.8668
2023-03-11 21:09:20:75,0,-13.8309,1.43494,88.8499
2023-03-11 21:09:20:85,0,-13.8293,1.45352,88.8457
2023-03-11 21:09:20:95,0,-13.8283,1.46626,88.8527
2023-03-11 21:09:20:105,0,-13.8265,1.47516,88.8674
2023-03-11 21:09:20:115,0,-13.8203,1.48225,88.8805
2023-03-11 21:09:20:125,0,-13.8086,1.49319,88.8918
2023-03-11 21:09:20:135,0,-13.7927,1.51017,88.894
2023-03-11 21:09:20:145,0,-13.7727,1.52799,88.8865
2023-03-11 21:09:20:155,0,-13.7481,1.5487,88.8701
2023-03-11 21:09:20:165,0,-13.7231,1.56856,88.8458
2023-03-11 21:09:20:175,0,-13.6957,1.57709,88.8214
2023-03-11 21:09:20:185,0,-13.6609,1.58692,88.7901
2023-03-11 21:09:20:195,0,-13.6256,1.59368,88.7617
2023-03-11 21:09:20:205,0,-13.5933,1.59736,88.7288
2023-03-11 21:09:20:215,0,-13.5689,1.6028,88.693
2023-03-11 21:09:20:225,0,-13.5368,1.61424,88.657
2023-03-11 21:09:20:235,0,-13.4986,1.62021,88.6219
2023-03-11 21:09:20:245,0,-13.4517,1.62495,88.5875
2023-03-11 21:09:20:255,0,-13.4015,1.62936,88.5538
2023-03-11 21:09:20:265,0,-13.3433,1.62763,88.5229
2023-03-11 21:09:20:275,0,-13.2795,1.62583,88.4949
2023-03-11 21:09:20:285,0,-13.2127,1.62137,88.4698
2023-03-11 21:09:20:295,0,-13.141,1.61872,88.4469
2023-03-11 21:09:20:305,0,-13.068,1.61655,88.4204
2023-03-11 21:09:20:315,0,-12.9984,1.61422,88.4004
2023-03-11 21:09:20:325,0,-12.9259,1.61105,88.3799
2023-03-11 21:09:20:335,0,-12.8602,1.60987,88.3628
2023-03-11 21:09:20:345,0,-12.7981,1.60902,88.348
2023-03-11 21:09:20:355,0,-12.731,1.60627,88.3319
2023-03-11 21:09:20:365,0,-12.6713,1.60485,88.3144
2023-03-11 21:09:20:375,0,-12.6051,1.60001,88.2937
2023-03-11 21:09:20:385,0,-12.5346,1.59439,88.2714
2023-03-11 21:09:20:395,0,-12.4645,1.58878,88.2449
2023-03-11 21:09:20:405,0,-12.3949,1.5756,88.2142
2023-03-11 21:09:20:415,0,-12.3321,1.56041,88.1826
2023-03-11 21:09:20:425,0,-12.2681,1.54038,88.1506
2023-03-11 21:09:20:435,0,-12.2099,1.52597,88.1135
2023-03-11 21:09:20:445,0,-12.1516,1.51058,88.0761
2023-03-11 21:09:20:455,0,-12.0939,1.49433,88.0414
2023-03-11 21:09:20:465,0,-12.0368,1.47532,88.0057
2023-03-11 21:09:20:475,0,-11.9722,1.45303,87.9746
2023-03-11 21:09:20:485,0,-11.8971,1.4349,87.9421
2023-03-11 21:09:20:495,0,-11.8196,1.42047,87.9131
2023-03-11 21:09:20:505,0,-11.7386,1.41123,87.8856
2023-03-11 21:09:20:515,0,-11.6578,1.40924,87.8592
2023-03-11 21:09:20:525,0,-11.5823,1.40124,87.8426
2023-03-11 21:09:20:535,0,-11.5046,1.40048,87.8379
2023-03-11 21:09:20:545,0,-11.4204,1.38842,87.847
2023-03-11 21:09:20:555,0,-11.3399,1.38131,87.8718
2023-03-11 21:09:20:565,0,-11.2631,1.3833,87.8993
2023-03-11 21:09:20:575,0,-11.1937,1.388,87.9256
2023-03-11 21:09:20:585,0,-11.1355,1.39869,87.9439
2023-03-11 21:09:20:595,0,-11.0911,1.40568,87.9613
2023-03-11 21:09:20:605,0,-11.0637,1.40778,87.973
2023-03-11 21:09:20:615,0,-11.0422,1.41222,87.9764
2023-03-11 21:09:20:625,0,-11.0291,1.40911,87.9729
2023-03-11 21:09:20:635,0,-11.0239,1.40113,87.9661
2023-03-11 21:09:20:645,0,-11.0218,1.38829,87.952
2023-03-11 21:09:20:655,0,-11.0303,1.36829,87.9346
2023-03-11 21:09:20:665,0,-11.0352,1.34632,87.9172
2023-03-11 21:09:20:675,0,-11.0419,1.32261,87.8963
2023-03-11 21:09:20:685,0,-11.043,1.29371,87.8755
2023-03-11 21:09:20:695,0,-11.0411,1.2629,87.8611
2023-03-11 21:09:20:705,0,-11.0346,1.23342,87.8498
2023-03-11 21:09:20:714,0,-11.0304,1.20426,87.8428
2023-03-11 21:09:20:725,0,-11.0277,1.17501,87.8397
2023-03-11 21:09:20:735,0,-11.0232,1.14821,87.8409
2023-03-11 21:09:20:745,0,-11.0171,1.12432,87.8467
2023-03-11 21:09:20:755,0,-11.0037,1.10262,87.854
2023-03-11 21:09:20:765,0,-10.987,1.08391,87.8656
2023-03-11 21:09:20:775,0,-10.9714,1.0689,87.8717
2023-03-11 21:09:20:785,0,-10.9613,1.05181,87.8771
2023-03-11 21:09:20:795,0,-10.96,1.03293,87.8765
2023-03-11 21:09:20:805,0,-10.9597,1.02125,87.8717
2023-03-11 21:09:20:815,0,-10.9623,1.00584,87.8696
2023-03-11 21:09:20:825,0,-10.9621,0.994139,87.8651
2023-03-11 21:09:20:835,0,-10.9615,0.988749,87.8593
2023-03-11 21:09:20:845,0,-10.9525,0.980371,87.8566
2023-03-11 21:09:20:855,0,-10.9398,0.970619,87.856
2023-03-11 21:09:20:865,0,-10.9234,0.955546,87.8602
2023-03-11 21:09:20:875,0,-10.9126,0.938559,87.8667
2023-03-11 21:09:20:885,0,-10.9008,0.922824,87.8847
2023-03-11 21:09:20:895,0,-10.8932,0.905494,87.9062
2023-03-11 21:09:20:905,0,-10.8823,0.889807,87.9318
2023-03-11 21:09:20:915,0,-10.8722,0.870973,87.9637
2023-03-11 21:09:20:925,0,-10.8608,0.854246,87.9953
2023-03-11 21:09:20:935,0,-10.8521,0.838717,88.0257
2023-03-11 21:09:20:945,0,-10.8392,0.820871,88.0558
2023-03-11 21:09:20:955,0,-10.8175,0.800785,88.0884
2023-03-11 21:09:20:965,0,-10.7935,0.771701,88.1216
2023-03-11 21:09:20:975,0,-10.7703,0.736216,88.1585
2023-03-11 21:09:20:985,0,-10.7577,0.699476,88.1961
2023-03-11 21:09:20:995,0,-10.7559,0.661704,88.2339
2023-03-11 21:09:21:5,0,-10.7671,0.630206,88.2732
2023-03-11 21:09:21:15,0,-10.7757,0.609137,88.3079
2023-03-11 21:09:21:25,0,-10.7821,0.586607,88.3373
2023-03-11 21:09:21:35,0,-10.7835,0.563823,88.3588
2023-03-11 21:09:21:45,0,-10.7755,0.540361,88.3683
2023-03-11 21:09:21:55,0,-10.768,0.520786,88.3692
2023-03-11 21:09:21:65,0,-10.756,0.504283,88.3559
2023-03-11 21:09:21:75,0,-10.7406,0.497805,88.3322
2023-03-11 21:09:21:85,0,-10.7279,0.495012,88.3053
2023-03-11 21:09:21:95,0,-10.7199,0.49794,88.2725
2023-03-11 21:09:21:105,0,-10.7174,0.503406,88.2393
2023-03-11 21:09:21:115,0,-10.7256,0.513933,88.2033
2023-03-11 21:09:21:125,0,-10.7369,0.525208,88.1706
2023-03-11 21:09:21:135,0,-10.7524,0.537418,88.1425
2023-03-11 21:09:21:145,0,-10.7673,0.550104,88.1228
2023-03-11 21:09:21:155,0,-10.7823,0.562349,88.1024
2023-03-11 21:09:21:165,0,-10.7908,0.577719,88.0882
2023-03-11 21:09:21:175,0,-10.8024,0.591972,88.0761
2023-03-11 21:09:21:185,0,-10.8149,0.606873,88.0663
2023-03-11 21:09:21:195,0,-10.8253,0.615879,88.0588
2023-03-11 21:09:21:205,0,-10.8362,0.614674,88.0541
2023-03-11 21:09:21:215,0,-10.8436,0.615123,88.05
2023-03-11 21:09:21:225,0,-10.8523,0.611077,88.0458
2023-03-11 21:09:21:235,0,-10.8608,0.608651,88.0422
2023-03-11 21:09:21:245,0,-10.8672,0.602929,88.0348
2023-03-11 21:09:21:255,0,-10.8687,0.592389,88.0289
2023-03-11 21:09:21:265,0,-10.8705,0.581358,88.0259
2023-03-11 21:09:21:275,0,-10.866,0.5689,88.0181
2023-03-11 21:09:21:285,0,-10.8533,0.557134,88.0118
2023-03-11 21:09:21:295,0,-10.8442,0.541466,88.0057
2023-03-11 21:09:21:305,0,-10.838,0.524594,88.0023
2023-03-11 21:09:21:315,0,-10.8289,0.508885,87.9984
2023-03-11 21:09:21:325,0,-10.8186,0.493807,87.9974
2023-03-11 21:09:21:335,0,-10.8041,0.482307,87.9958
2023-03-11 21:09:21:345,0,-10.7877,0.469306,87.9962
2023-03-11 21:09:21:355,0,-10.7703,0.457322,87.9972
2023-03-11 21:09:21:365,0,-10.7574,0.445834,87.9971
2023-03-11 21:09:21:375,0,-10.7397,0.439672,87.9926
2023-03-11 21:09:21:385,0,-10.7258,0.434211,87.9851
