Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 22:52:13:97,0,-10.7156,1.62724,-33.7454
2023-03-11 22:52:13:107,0,-10.7046,1.61282,-33.7564
2023-03-11 22:52:13:117,0,-10.6948,1.603,-33.7753
2023-03-11 22:52:13:127,0,-10.6912,1.60162,-33.7975
2023-03-11 22:52:13:137,0,-10.6964,1.5957,-33.8215
2023-03-11 22:52:13:147,0,-10.7039,1.59532,-33.8499
2023-03-11 22:52:13:157,0,-10.7164,1.59983,-33.8751
2023-03-11 22:52:13:167,0,-10.7349,1.60632,-33.9029
2023-03-11 22:52:13:177,0,-10.7519,1.61477,-33.9227
2023-03-11 22:52:13:187,0,-10.7655,1.61913,-33.9385
2023-03-11 22:52:13:197,0,-10.7775,1.61972,-33.9437
2023-03-11 22:52:13:207,0,-10.7938,1.61818,-33.9424
2023-03-11 22:52:13:217,0,-10.8093,1.61282,-33.9374
2023-03-11 22:52:13:227,0,-10.8281,1.60418,-33.9269
2023-03-11 22:52:13:237,0,-10.8394,1.5997,-33.9132
2023-03-11 22:52:13:247,0,-10.8494,1.59153,-33.8985
2023-03-11 22:52:13:257,0,-10.8519,1.58544,-33.8812
2023-03-11 22:52:13:267,0,-10.845,1.57967,-33.8651
2023-03-11 22:52:13:277,0,-10.8281,1.57141,-33.8454
2023-03-11 22:52:13:287,0,-10.8089,1.55987,-33.817
2023-03-11 22:52:13:297,0,-10.7896,1.54707,-33.7814
2023-03-11 22:52:13:307,0,-10.7666,1.53338,-33.7359
2023-03-11 22:52:13:317,0,-10.7429,1.5221,-33.6825
2023-03-11 22:52:13:327,0,-10.7131,1.51369,-33.6178
2023-03-11 22:52:13:337,0,-10.6855,1.50885,-33.5468
2023-03-11 22:52:13:347,0,-10.6542,1.50881,-33.4717
2023-03-11 22:52:13:357,0,-10.6231,1.51585,-33.3873
2023-03-11 22:52:13:367,0,-10.5896,1.53065,-33.2917
2023-03-11 22:52:13:377,0,-10.5576,1.55152,-33.1765
2023-03-11 22:52:13:387,0,-10.5225,1.57769,-33.0498
2023-03-11 22:52:13:397,0,-10.4826,1.60995,-32.9054
2023-03-11 22:52:13:407,0,-10.4491,1.6513,-32.7432
2023-03-11 22:52:13:417,0,-10.4242,1.69408,-32.5656
2023-03-11 22:52:13:427,0,-10.4099,1.74249,-32.3762
2023-03-11 22:52:13:437,0,-10.3981,1.78996,-32.1774
2023-03-11 22:52:13:447,0,-10.3831,1.83434,-31.9759
2023-03-11 22:52:13:457,0,-10.3671,1.88205,-31.7749
2023-03-11 22:52:13:467,0,-10.3594,1.92295,-31.5722
2023-03-11 22:52:13:477,0,-10.3517,1.95988,-31.3763
2023-03-11 22:52:13:487,0,-10.346,1.98942,-31.1888
2023-03-11 22:52:13:497,0,-10.3417,2.01545,-31.0172
