Timestamp_cmd,imu_cmd,roll_delta,pitch_delta,yaw_delta
2023-03-11 20:24:15:696,0,-8.64862,-2.09412,89.298
2023-03-11 20:24:15:705,0,-8.63435,-2.09116,89.278
2023-03-11 20:24:15:716,0,-8.62012,-2.08647,89.2554
2023-03-11 20:24:15:725,0,-8.6086,-2.07358,89.2361
2023-03-11 20:24:15:735,0,-8.59833,-2.06907,89.2189
2023-03-11 20:24:15:745,0,-8.58323,-2.06086,89.2089
2023-03-11 20:24:15:756,0,-8.57329,-2.05173,89.2036
2023-03-11 20:24:15:766,0,-8.56511,-2.04451,89.2009
2023-03-11 20:24:15:775,0,-8.5547,-2.03942,89.205
2023-03-11 20:24:15:785,0,-8.54978,-2.03284,89.2125
2023-03-11 20:24:15:796,0,-8.54581,-2.02911,89.2221
2023-03-11 20:24:15:806,0,-8.54556,-2.03475,89.2388
2023-03-11 20:24:15:816,0,-8.55017,-2.0446,89.2542
2023-03-11 20:24:15:826,0,-8.55335,-2.0576,89.2695
2023-03-11 20:24:15:835,0,-8.55608,-2.06964,89.2819
2023-03-11 20:24:15:845,0,-8.56173,-2.08522,89.2955
2023-03-11 20:24:15:856,0,-8.5753,-2.09973,89.3089
2023-03-11 20:24:15:865,0,-8.58401,-2.11144,89.3214
2023-03-11 20:24:15:876,0,-8.59644,-2.12488,89.333
2023-03-11 20:24:15:885,0,-8.60522,-2.1382,89.3469
2023-03-11 20:24:15:895,0,-8.6157,-2.14814,89.3616
2023-03-11 20:24:15:905,0,-8.62626,-2.15888,89.3782
2023-03-11 20:24:15:916,0,-8.63352,-2.16486,89.3926
2023-03-11 20:24:15:926,0,-8.64357,-2.17169,89.4085
2023-03-11 20:24:15:936,0,-8.65414,-2.1734,89.4227
2023-03-11 20:24:15:945,0,-8.66157,-2.17542,89.4352
2023-03-11 20:24:15:955,0,-8.66929,-2.17613,89.4456
2023-03-11 20:24:15:965,0,-8.68223,-2.18041,89.4545
2023-03-11 20:24:15:975,0,-8.69497,-2.1794,89.4599
2023-03-11 20:24:15:986,0,-8.7061,-2.17481,89.4619
2023-03-11 20:24:15:996,0,-8.71849,-2.1675,89.4688
2023-03-11 20:24:16:6,0,-8.72739,-2.16165,89.4687
2023-03-11 20:24:16:15,0,-8.73363,-2.15777,89.4693
2023-03-11 20:24:16:26,0,-8.74107,-2.15191,89.4702
2023-03-11 20:24:16:36,0,-8.74734,-2.14384,89.4698
2023-03-11 20:24:16:46,0,-8.75385,-2.14058,89.4683
2023-03-11 20:24:16:56,0,-8.75869,-2.13461,89.4681
2023-03-11 20:24:16:65,0,-8.76503,-2.12517,89.4708
2023-03-11 20:24:16:75,0,-8.77546,-2.11765,89.4707
