Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-04-21 02-48-46-771170,0,160,1555,1445,-0.264,160.039,-0.24,0.4,-9.8,-2.35,-1.43,-156.49,36.49000000000001
2023-04-21 02-48-46-848819,0,160,1555,1445,-0.264,160.039,-0.22,0.37,-9.79,-2.36,-1.41,-156.54,36.53999999999999
2023-04-21 02-48-46-926213,0,160,1555,1445,-0.352,160.039,-0.22,0.42,-9.78,-2.37,-1.4,-156.58,36.58000000000001
2023-04-21 02-48-47-037082,0,160,1555,1445,-0.264,160.039,-0.21,0.37,-9.78,-2.38,-1.4,-156.62,36.620000000000005
2023-04-21 02-48-47-089907,0,160,1555,1445,-0.264,159.951,-0.21,0.37,-9.75,-2.38,-1.4,-156.67,36.66999999999999
2023-04-21 02-48-47-168167,0,160,1555,1445,-0.264,160.039,-0.23,0.38,-9.78,-2.38,-1.42,-156.71,36.71000000000001
2023-04-21 02-48-47-257983,0,160,1555,1445,-0.264,159.951,-0.21,0.38,-9.78,-2.36,-1.43,-156.73,36.72999999999999
2023-04-21 02-48-47-325802,0,160,1555,1445,-0.264,159.951,-0.22,0.35,-9.78,-2.34,-1.44,-156.75,36.75
2023-04-21 02-48-47-399268,0,160,1555,1445,-0.264,159.951,-0.22,0.39,-9.76,-2.32,-1.46,-156.79,36.78999999999999
2023-04-21 02-48-47-464273,0,160,1555,1445,-0.264,159.951,-0.24,0.38,-9.78,-2.31,-1.48,-156.82,36.81999999999999
2023-04-21 02-48-47-532505,0,160,1555,1445,-0.264,159.951,-0.23,0.39,-9.79,-2.3,-1.51,-156.86,36.860000000000014
2023-04-21 02-48-47-609644,0,160,1555,1445,-0.264,159.951,-0.22,0.35,-9.75,-2.28,-1.54,-156.89,36.889999999999986
2023-04-21 02-48-47-700933,0,160,1555,1445,-0.264,160.039,-0.27,0.37,-9.75,-2.26,-1.58,-156.92,36.91999999999999
2023-04-21 02-48-47-767486,0,160,1555,1445,-0.264,160.039,-0.25,0.36,-9.79,-2.24,-1.62,-156.94,36.94
2023-04-21 02-48-47-837746,0,160,1555,1445,-0.264,159.951,-0.24,0.35,-9.78,-2.21,-1.66,-156.96,36.96000000000001
2023-04-21 02-48-47-917133,0,160,1555,1445,-0.264,159.951,-0.24,0.36,-9.79,-2.19,-1.69,-156.97,36.97
2023-04-21 02-48-47-992955,0,160,1555,1445,-0.264,160.039,-0.26,0.35,-9.81,-2.17,-1.74,-156.98,36.97999999999999
2023-04-21 02-48-48-069838,0,160,1555,1445,-0.264,159.951,-0.27,0.34,-9.78,-2.15,-1.79,-157.0,37.0
2023-04-21 02-48-48-139728,0,160,1555,1445,-0.264,160.039,-0.31,0.35,-9.77,-2.13,-1.85,-157.03,37.03
2023-04-21 02-48-48-215547,0,160,1555,1445,-0.264,159.951,-0.3,0.31,-9.76,-2.1,-1.92,-157.04,37.03999999999999
