Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,error
2023-05-05 12-49-06-671399,0,160,1550,1450.0,-89.78,-110.093,-0.63,2.71,-9.38,-16.16,-3.92,141.17,13.84
2023-05-05 12-49-06-849461,0,160,1550,1450.0,-89.868,-110.093,-0.61,2.78,-9.36,-16.26,-4.26,141.24,13.739999999999998
2023-05-05 12-49-07-031450,0,160,1550,1450.0,-89.868,-110.093,-0.73,2.71,-9.39,-16.38,-4.46,141.28,13.620000000000001
2023-05-05 12-49-07-214846,0,160,1550,1450.0,-89.78,-110.093,-0.75,2.75,-9.36,-16.5,-4.66,141.3,13.5
2023-05-05 12-49-07-400196,0,160,1549,1451.0,-89.78,-110.093,-0.81,2.78,-9.35,-16.65,-4.84,141.26,13.350000000000001
2023-05-05 12-49-07-576603,0,160,1549,1451.0,-89.78,-110.093,-0.83,2.8,-9.31,-16.79,-4.99,141.19,13.21
2023-05-05 12-49-07-759637,0,160,1549,1451.0,-89.868,-110.093,-0.81,2.8,-9.28,-16.74,-4.91,141.04,13.260000000000002
2023-05-05 12-49-07-936664,0,160,1550,1450.0,-89.78,-110.093,-0.76,2.77,-9.31,-16.48,-4.59,140.9,13.52
2023-05-05 12-49-08-112859,0,160,1550,1450.0,-89.78,-110.093,-0.66,2.66,-9.35,-16.14,-4.14,140.78,13.86
2023-05-05 12-49-08-301624,0,160,1551,1449.0,-89.78,-110.093,-0.57,2.6,-9.44,-15.76,-3.72,140.8,14.24
2023-05-05 12-49-08-485739,0,160,1551,1449.0,-89.78,-110.093,-0.58,2.58,-9.45,-15.51,-3.58,140.96,14.49
2023-05-05 12-49-08-649182,0,160,1551,1449.0,-89.868,-110.093,-0.59,2.57,-9.44,-15.36,-3.44,141.07,14.64
2023-05-05 12-49-08-838910,0,160,1552,1448.0,-89.78,-110.093,-0.52,2.55,-9.44,-15.32,-3.16,141.07,14.68
2023-05-05 12-49-09-026148,0,160,1551,1449.0,-89.868,-110.093,-0.48,2.48,-9.44,-15.37,-2.85,141.04,14.63
2023-05-05 12-49-09-206145,0,160,1551,1449.0,-89.78,-110.093,-0.44,2.59,-9.45,-15.41,-2.89,141.24,14.59
2023-05-05 12-49-09-393991,0,160,1551,1449.0,-89.78,-110.093,-0.45,2.59,-9.43,-15.49,-2.97,141.41,14.51
2023-05-05 12-49-09-575226,0,160,1551,1449.0,-89.78,-110.093,-0.46,2.59,-9.43,-15.54,-3.01,141.52,14.46
2023-05-05 12-49-09-747235,0,160,1551,1449.0,-89.78,-110.093,-0.47,2.64,-9.38,-15.57,-3.06,141.65,14.43
2023-05-05 12-49-09-934021,0,160,1551,1449.0,-89.868,-110.093,-0.48,2.61,-9.45,-15.57,-3.06,141.73,14.43
2023-05-05 12-49-10-115590,0,160,1551,1449.0,-89.868,-110.093,-0.51,2.63,-9.46,-15.63,-3.27,141.86,14.37
2023-05-05 12-49-10-298454,0,160,1551,1449.0,-89.868,-110.093,-0.55,2.67,-9.37,-15.81,-3.51,141.98,14.19
2023-05-05 12-49-10-468726,0,160,1551,1449.0,-89.868,-110.093,-0.6,2.67,-9.39,-15.97,-3.71,142.06,14.03
2023-05-05 12-49-10-653148,0,160,1550,1450.0,-89.868,-110.093,-0.62,2.67,-9.37,-16.16,-3.92,142.12,13.84
2023-05-05 12-49-10-832161,0,160,1550,1450.0,-89.868,-110.093,-0.66,2.71,-9.37,-16.33,-4.12,142.14,13.670000000000002
2023-05-05 12-49-11-010984,0,160,1550,1450.0,-89.78,-110.093,-0.77,2.72,-9.34,-16.46,-4.6,142.15,13.54
2023-05-05 12-49-11-198308,0,160,1550,1450.0,-89.868,-110.093,-0.81,2.77,-9.31,-16.62,-4.99,142.19,13.379999999999999
2023-05-05 12-49-11-372259,0,160,1549,1451.0,-89.78,-110.093,-0.85,2.8,-9.33,-16.83,-5.29,142.13,13.170000000000002
2023-05-05 12-49-11-556650,0,160,1549,1451.0,-89.868,-110.093,-0.9,2.88,-9.26,-17.06,-5.56,141.99,12.940000000000001
2023-05-05 12-49-11-733546,0,160,1549,1451.0,-89.78,-110.093,-0.92,2.85,-9.22,-17.16,-5.62,141.74,12.84
2023-05-05 12-49-11-920510,0,160,1549,1451.0,-89.78,-110.093,-0.85,2.86,-9.26,-16.98,-5.3,141.42,13.02
2023-05-05 12-49-12-100401,0,160,1550,1450.0,-89.868,-110.093,-0.76,2.8,-9.33,-16.61,-4.74,141.13,13.39
2023-05-05 12-49-12-286214,0,160,1550,1450.0,-89.78,-110.093,-0.67,2.69,-9.38,-16.12,-4.08,140.94,13.879999999999999
2023-05-05 12-49-12-460272,0,160,1551,1449.0,-89.868,-110.093,-0.6,2.62,-9.43,-15.73,-3.7,140.97,14.27
2023-05-05 12-49-12-631254,0,160,1551,1449.0,-89.868,-110.093,-0.57,2.57,-9.44,-15.47,-3.51,141.1,14.53
2023-05-05 12-49-12-816343,0,160,1552,1448.0,-89.78,-110.093,-0.52,2.58,-9.43,-15.3,-3.3,141.19,14.7
2023-05-05 12-49-12-998276,0,160,1552,1448.0,-89.78,-110.093,-0.45,2.56,-9.47,-15.29,-2.99,141.17,14.71
2023-05-05 12-49-13-174975,0,160,1551,1449.0,-89.868,-110.093,-0.44,2.6,-9.44,-15.37,-2.91,141.25,14.63
2023-05-05 12-49-13-359654,0,160,1551,1449.0,-89.868,-110.093,-0.48,2.58,-9.43,-15.51,-3.07,141.44,14.49
2023-05-05 12-49-13-535398,0,160,1551,1449.0,-89.78,-110.093,-0.5,2.63,-9.42,-15.67,-3.25,141.59,14.33
2023-05-05 12-49-13-718054,0,160,1551,1449.0,-89.868,-110.093,-0.57,2.63,-9.38,-15.88,-3.52,141.74,14.12
2023-05-05 12-49-13-884786,0,160,1550,1450.0,-89.78,-110.093,-0.6,2.7,-9.38,-16.07,-3.73,141.82,13.93
2023-05-05 12-49-14-066853,0,160,1550,1450.0,-89.868,-110.093,-0.64,2.69,-9.37,-16.25,-3.92,141.87,13.75
2023-05-05 12-49-14-247328,0,160,1550,1450.0,-89.78,-110.093,-0.64,2.75,-9.39,-16.32,-4.18,141.89,13.68
2023-05-05 12-49-14-424914,0,160,1550,1450.0,-89.78,-110.093,-0.75,2.75,-9.38,-16.44,-4.6,141.97,13.559999999999999
2023-05-05 12-49-14-605276,0,160,1549,1451.0,-89.868,-110.093,-0.81,2.78,-9.35,-16.69,-5.17,142.06,13.309999999999999
2023-05-05 12-49-14-788696,0,160,1549,1451.0,-89.78,-110.093,-0.92,2.84,-9.31,-16.96,-5.64,142.06,13.04
2023-05-05 12-49-14-969062,0,160,1549,1451.0,-89.868,-110.093,-0.93,2.85,-9.24,-17.13,-5.84,141.87,12.870000000000001
2023-05-05 12-49-15-149362,0,160,1549,1451.0,-89.868,-110.093,-0.94,2.84,-9.3,-17.11,-5.79,141.62,12.89
2023-05-05 12-49-15-326586,0,160,1549,1451.0,-89.78,-110.093,-0.92,2.81,-9.28,-16.98,-5.63,141.39,13.02
2023-05-05 12-49-15-501471,0,160,1549,1451.0,-89.868,-110.093,-0.87,2.79,-9.31,-16.77,-5.34,141.18,13.23
2023-05-05 12-49-15-678296,0,160,1550,1450.0,-89.78,-110.093,-0.78,2.75,-9.32,-16.46,-4.92,141.0,13.54
2023-05-05 12-49-15-852526,0,160,1550,1450.0,-89.78,-110.093,-0.71,2.66,-9.34,-16.07,-4.46,140.89,13.93
2023-05-05 12-49-16-041014,0,160,1551,1449.0,-89.868,-110.093,-0.62,2.61,-9.42,-15.72,-4.03,140.85,14.28
2023-05-05 12-49-16-209556,0,160,1551,1449.0,-89.868,-110.093,-0.6,2.58,-9.42,-15.48,-3.71,140.88,14.52
2023-05-05 12-49-16-400023,0,160,1552,1448.0,-89.78,-110.093,-0.5,2.52,-9.52,-15.32,-3.23,140.86,14.68
2023-05-05 12-49-16-576526,0,160,1552,1448.0,-89.78,-110.093,-0.48,2.54,-9.47,-15.33,-3.01,140.89,14.67
2023-05-05 12-49-16-766402,0,160,1551,1449.0,-89.78,-110.093,-0.47,2.6,-9.43,-15.47,-3.01,141.01,14.53
2023-05-05 12-49-16-937367,0,160,1551,1449.0,-89.868,-110.093,-0.5,2.63,-9.42,-15.66,-3.22,141.22,14.34
2023-05-05 12-49-17-099995,0,160,1551,1449.0,-89.868,-110.093,-0.55,2.62,-9.42,-15.86,-3.46,141.39,14.14
2023-05-05 12-49-17-288158,0,160,1550,1450.0,-89.868,-110.093,-0.59,2.66,-9.39,-16.15,-3.77,141.54,13.850000000000001
2023-05-05 12-49-17-471716,0,160,1550,1450.0,-89.868,-110.093,-0.65,2.74,-9.37,-16.44,-4.12,141.66,13.559999999999999
2023-05-05 12-49-17-659421,0,160,1549,1451.0,-89.868,-110.093,-1.02,2.7,-9.3,-16.66,-4.78,141.73,13.34
2023-05-05 12-49-17-834232,0,160,1549,1451.0,-89.78,-110.093,-0.85,2.82,-9.35,-16.92,-5.2,141.75,13.079999999999998
2023-05-05 12-49-18-012676,0,160,1549,1451.0,-89.78,-110.093,-0.93,2.84,-9.27,-17.14,-5.44,141.61,12.86
2023-05-05 12-49-18-198597,0,160,1549,1451.0,-89.78,-110.093,-0.92,2.84,-9.26,-17.16,-5.48,141.42,12.84
2023-05-05 12-49-18-380846,0,160,1549,1451.0,-89.868,-110.093,-0.86,2.83,-9.29,-16.96,-5.21,141.17,13.04
2023-05-05 12-49-18-563026,0,160,1550,1450.0,-89.78,-110.093,-0.74,2.77,-9.35,-16.57,-4.69,140.93,13.43
2023-05-05 12-49-18-743496,0,160,1550,1450.0,-89.78,-110.093,-0.65,2.71,-9.36,-16.13,-4.12,140.78,13.870000000000001
2023-05-05 12-49-18-927244,0,160,1551,1449.0,-89.78,-110.093,-0.6,2.63,-9.45,-15.74,-3.72,140.82,14.26
2023-05-05 12-49-19-108225,0,160,1551,1449.0,-89.868,-110.093,-0.58,2.58,-9.46,-15.53,-3.66,140.98,14.47
2023-05-05 12-49-19-292893,0,160,1551,1449.0,-89.868,-110.093,-0.55,2.59,-9.43,-15.44,-3.58,141.12,14.56
2023-05-05 12-49-19-481311,0,160,1551,1449.0,-89.868,-110.093,-0.56,2.58,-9.44,-15.5,-3.43,141.15,14.5
2023-05-05 12-49-19-667566,0,160,1551,1449.0,-89.868,-110.093,-0.62,2.55,-9.46,-15.66,-3.35,141.13,14.34
2023-05-05 12-49-19-850807,0,160,1551,1449.0,-89.868,-110.093,-0.57,2.64,-9.41,-15.86,-3.61,141.3,14.14
2023-05-05 12-49-20-036740,0,160,1550,1450.0,-89.868,-110.093,-0.6,2.72,-9.38,-16.09,-3.88,141.44,13.91
2023-05-05 12-49-20-211971,0,160,1550,1450.0,-89.78,-110.093,-0.67,2.73,-9.38,-16.33,-4.16,141.53,13.670000000000002
2023-05-05 12-49-20-392937,0,160,1550,1450.0,-89.78,-110.093,-0.72,2.74,-9.34,-16.5,-4.52,141.56,13.5
2023-05-05 12-49-20-583048,0,160,1550,1450.0,-89.868,-110.093,-0.75,2.75,-9.33,-16.63,-4.77,141.51,13.370000000000001
2023-05-05 12-49-20-765654,0,160,1549,1451.0,-89.868,-110.093,-0.8,2.79,-9.36,-16.73,-4.95,141.47,13.27
2023-05-05 12-49-20-956108,0,160,1549,1451.0,-89.868,-110.093,-0.86,2.8,-9.31,-16.94,-5.21,141.42,13.059999999999999
2023-05-05 12-49-21-129419,0,160,1549,1451.0,-89.868,-110.093,-0.88,2.82,-9.27,-17.0,-5.31,141.29,13.0
2023-05-05 12-49-21-317829,0,160,1549,1451.0,-89.868,-110.093,-0.85,2.79,-9.3,-16.85,-5.15,141.11,13.149999999999999
2023-05-05 12-49-21-507777,0,160,1550,1450.0,-89.868,-110.093,-0.78,2.76,-9.29,-16.55,-4.78,140.92,13.45
2023-05-05 12-49-21-688550,0,160,1550,1450.0,-89.78,-110.093,-0.69,2.68,-9.38,-16.14,-4.25,140.78,13.86
