Timestamp_log,left_angle,right_angle,left_thrust,right_thrust,read_left_angle,read_right_angle,accel_x,accel_y,accel_z,roll,pitch,yaw,e_alpha
2023-03-23 23-27-41-337507,0,0,1530,1470,178.857,-12.926,-0.06,0.71,-9.73,-4.22,-0.61,133.92,8.717840000000024
2023-03-23 23-27-41-562818,0,0,1530,1470,178.857,-12.926,0.01,0.64,-9.75,-3.79,-0.11,133.08,7.877840000000049
2023-03-23 23-27-41-786711,0,0,1530,1470,178.857,-12.926,0.04,0.6,-9.77,-3.49,0.28,132.88,7.677840000000032
2023-03-23 23-27-42-011263,0,0,1530,1470,178.857,-12.926,0.05,0.58,-9.77,-3.28,0.09,132.71,7.507840000000044
2023-03-23 23-27-42-235267,0,0,1530,1470,178.857,-12.926,-0.03,0.62,-9.68,-3.24,-0.48,132.04,6.837840000000028
2023-03-23 23-27-42-458371,0,0,1530,1470,178.857,-12.926,-0.02,0.57,-9.77,-3.27,-0.29,130.93,5.727840000000043
2023-03-23 23-27-42-681526,0,0,1530,1470,178.857,-12.926,0.06,0.58,-9.75,-3.41,0.01,129.91,4.707840000000033
2023-03-23 23-27-42-906726,0,0,1530,1470,178.857,-12.926,0.04,0.62,-9.76,-3.64,0.2,129.42,4.217840000000024
2023-03-23 23-27-43-131318,0,0,1530,1470,178.857,-12.926,-0.01,0.67,-9.76,-3.87,0.03,129.42,4.217840000000024
2023-03-23 23-27-43-354139,0,0,1530,1470,178.945,-12.926,-0.11,0.72,-9.74,-4.16,-0.73,129.28,4.077840000000037
2023-03-23 23-27-43-577608,0,0,1530,1470,178.857,-12.926,-0.16,0.78,-9.74,-4.49,-1.0,128.54,3.3378400000000283
2023-03-23 23-27-43-801495,0,0,1530,1470,178.857,-12.926,-0.12,0.84,-9.74,-4.86,-1.03,127.7,2.497840000000039
2023-03-23 23-27-44-027241,0,0,1530,1470,178.857,-12.926,-0.15,0.88,-9.72,-5.1,-1.11,127.19,1.987840000000034
2023-03-23 23-27-44-251066,0,0,1530,1470,178.857,-12.926,-0.23,0.94,-9.74,-5.3,-1.1,127.41,2.207840000000033
2023-03-23 23-27-44-473978,0,0,1530,1470,178.857,-12.926,-0.26,0.96,-9.71,-5.57,-1.68,127.96,2.75784000000003
2023-03-23 23-27-44-698617,0,0,1530,1470,178.857,-12.926,-0.36,0.99,-9.71,-5.78,-2.29,127.93,2.727840000000043
2023-03-23 23-27-44-921511,0,0,1530,1470,178.857,-12.926,-0.39,1.02,-9.7,-6.01,-2.43,127.44,2.237840000000034
2023-03-23 23-27-45-147177,0,0,1530,1470,178.857,-12.926,-0.37,1.08,-9.72,-6.29,-2.35,126.9,1.697840000000042
2023-03-23 23-27-45-371317,0,0,1530,1470,178.857,-12.926,-0.4,1.09,-9.69,-6.47,-2.22,126.94,1.737840000000034
2023-03-23 23-27-45-593598,0,0,1530,1470,178.857,-12.926,-0.41,1.14,-9.7,-6.62,-2.3,127.7,2.497840000000039
2023-03-23 23-27-45-817676,0,0,1530,1470,178.857,-12.926,-0.46,1.13,-9.69,-6.84,-2.87,128.33,3.127840000000049
2023-03-23 23-27-46-041739,0,0,1530,1470,178.857,-12.926,-0.56,1.19,-9.69,-6.99,-3.3,128.29,3.0878400000000283
2023-03-23 23-27-46-265824,0,0,1530,1470,178.857,-12.926,-0.5,1.21,-9.61,-7.12,-3.27,127.96,2.75784000000003
2023-03-23 23-27-46-489996,0,0,1530,1470,178.857,-12.926,-0.53,1.24,-9.65,-7.26,-3.31,127.93,2.727840000000043
2023-03-23 23-27-46-713755,0,0,1530,1470,178.857,-12.926,-0.53,1.22,-9.69,-7.26,-3.19,128.5,3.2978400000000363
2023-03-23 23-27-46-937770,0,0,1530,1470,178.857,-12.926,-0.52,1.27,-9.62,-7.23,-3.23,129.57,4.3678400000000295
2023-03-23 23-27-47-161785,0,0,1530,1470,178.857,-12.926,-0.63,1.25,-9.66,-7.31,-3.76,130.24,5.037840000000045
2023-03-23 23-27-47-385990,0,0,1530,1470,178.857,-12.926,-0.63,1.21,-9.65,-7.34,-3.67,130.25,5.047840000000036
2023-03-23 23-27-47-609849,0,0,1530,1470,178.857,-12.926,-0.55,1.25,-9.68,-7.39,-3.44,130.19,4.987840000000034
2023-03-23 23-27-47-833731,0,0,1530,1470,178.857,-12.926,-0.55,1.26,-9.72,-7.45,-3.27,130.66,5.457840000000033
2023-03-23 23-27-48-057742,0,0,1530,1470,178.945,-12.926,-0.64,1.28,-9.65,-7.44,-3.27,131.65,6.447840000000042
2023-03-23 23-27-48-281740,0,0,1530,1470,178.857,-12.926,-0.6,1.31,-9.69,-7.5,-3.55,131.57,6.3678400000000295
2023-03-23 23-27-48-507311,0,0,1530,1470,178.857,-12.926,-0.59,1.31,-9.66,-7.63,-4.03,130.53,5.327840000000037
2023-03-23 23-27-48-730711,0,0,1530,1470,178.857,-12.926,-0.63,1.32,-9.67,-7.64,-3.94,130.08,4.877840000000049
2023-03-23 23-27-48-953680,0,0,1530,1470,178.857,-12.926,-0.68,1.33,-9.65,-7.61,-3.97,130.44,5.237840000000034
2023-03-23 23-27-49-178252,0,0,1530,1470,178.945,-12.926,-0.68,1.27,-9.67,-7.42,-3.88,130.81,5.607840000000039
2023-03-23 23-27-49-401456,0,0,1530,1470,178.945,-12.926,-0.67,1.23,-9.69,-7.22,-3.98,131.41,6.207840000000033
2023-03-23 23-27-49-625983,0,0,1530,1470,178.945,-12.926,-0.73,1.23,-9.65,-7.19,-4.47,132.24,7.037840000000045
2023-03-23 23-27-49-849541,0,0,1530,1470,178.945,-12.926,-0.8,1.21,-9.66,-7.14,-4.79,132.72,7.517840000000035
2023-03-23 23-27-50-073664,0,0,1530,1470,178.945,-12.926,-0.74,1.19,-9.67,-7.04,-4.44,133.39,8.187840000000023
2023-03-23 23-27-50-297693,0,0,1530,1470,178.945,-12.926,-0.75,1.18,-9.67,-6.89,-4.16,134.84,9.63784000000004
2023-03-23 23-27-50-521873,0,0,1530,1470,178.857,-12.926,-0.66,1.15,-9.7,-6.78,-4.4,134.56,9.357840000000039
2023-03-23 23-27-50-745896,0,0,1530,1470,178.857,-12.926,-0.78,1.18,-9.67,-6.77,-4.87,134.72,9.517840000000035
2023-03-23 23-27-50-970095,0,0,1530,1470,178.857,-12.926,-0.77,1.13,-9.66,-6.68,-4.95,135.37,10.16784000000004
2023-03-23 23-27-51-193744,0,0,1530,1470,178.857,-12.926,-0.83,1.12,-9.66,-6.46,-4.8,136.09,10.88784000000004
2023-03-23 23-27-51-418012,0,0,1530,1470,178.857,-12.926,-0.76,1.05,-9.71,-6.14,-4.62,137.65,12.447840000000042
2023-03-23 23-27-51-642089,0,0,1530,1470,178.945,-12.926,-0.78,1.07,-9.76,-6.12,-4.9,138.89,13.687840000000023
2023-03-23 23-27-51-865718,0,0,1530,1470,178.857,-12.926,-0.88,1.06,-9.63,-6.22,-5.3,140.27,15.067840000000047
2023-03-23 23-27-52-090022,0,0,1530,1470,178.857,-12.926,-0.84,1.05,-9.63,-6.21,-5.03,141.84,16.63784000000004
2023-03-23 23-27-52-313749,0,0,1530,1470,178.857,-12.926,-0.83,1.05,-9.67,-6.13,-4.83,142.98,17.777840000000026
2023-03-23 23-27-52-538068,0,0,1530,1470,178.857,-12.926,-0.78,1.04,-9.7,-6.1,-4.54,144.04,18.83784000000003
2023-03-23 23-27-52-761921,0,0,1530,1470,178.857,-12.926,-0.79,1.07,-9.69,-6.11,-4.72,145.48,20.277840000000026
2023-03-23 23-27-52-985989,0,0,1530,1470,178.945,-12.926,-0.8,1.07,-9.67,-6.19,-5.03,147.01,21.807840000000027
2023-03-23 23-27-53-209792,0,0,1530,1470,178.857,-12.926,-0.81,1.07,-9.66,-6.24,-5.0,148.55,23.347840000000048
2023-03-23 23-27-53-433481,0,0,1530,1470,178.857,-12.926,-0.77,1.04,-9.69,-6.15,-4.42,150.78,25.577840000000037
2023-03-23 23-27-53-657517,0,0,1530,1470,178.857,-12.926,-0.69,1.06,-9.68,-6.09,-4.14,151.79,26.58784000000003
2023-03-23 23-27-53-881575,0,0,1530,1470,178.857,-12.926,-0.63,1.05,-9.72,-6.12,-4.18,152.99,27.787840000000045
2023-03-23 23-27-54-105500,0,0,1530,1470,178.945,-12.926,-0.75,1.06,-9.68,-6.23,-4.61,154.14,28.937840000000023
2023-03-23 23-27-54-329827,0,0,1530,1470,178.857,-12.926,-0.76,1.11,-9.64,-6.33,-4.48,155.35,30.14784000000003
2023-03-23 23-27-54-553342,0,0,1530,1470,178.857,-12.926,-0.66,1.06,-9.71,-6.26,-3.82,156.72,31.517840000000035
2023-03-23 23-27-54-777555,0,0,1530,1470,178.857,-12.926,-0.64,1.08,-9.69,-6.27,-3.88,157.5,32.297840000000036
2023-03-23 23-27-55-001647,0,0,1530,1470,178.857,-12.926,-0.67,1.08,-9.68,-6.27,-4.3,158.19,32.987840000000034
2023-03-23 23-27-55-225844,0,0,1530,1470,178.945,-12.926,-0.71,1.09,-9.66,-6.33,-4.22,158.92,33.717840000000024
2023-03-23 23-27-55-450090,0,0,1530,1470,178.945,-12.926,-0.69,1.09,-9.68,-6.38,-4.02,159.73,34.527840000000026
2023-03-23 23-27-55-673884,0,0,1530,1470,178.857,-12.926,-0.62,1.07,-9.7,-6.31,-3.72,159.99,34.787840000000045
2023-03-23 23-27-55-897689,0,0,1530,1470,178.857,-12.926,-0.61,1.08,-9.68,-6.26,-3.54,160.18,34.97784000000004
2023-03-23 23-27-56-121675,0,0,1530,1470,178.857,-12.926,-0.59,1.09,-9.7,-6.37,-3.73,160.65,35.44784000000004
2023-03-23 23-27-56-345794,0,0,1530,1470,178.857,-12.926,-0.69,1.09,-9.66,-6.51,-4.38,161.05,35.84784000000005
2023-03-23 23-27-56-569474,0,0,1530,1470,178.857,-12.926,-0.61,1.11,-9.68,-6.54,-3.98,161.41,36.20784000000003
2023-03-23 23-27-56-793563,0,0,1530,1470,178.857,-12.926,-0.63,1.14,-9.67,-6.6,-3.69,161.61,36.40784000000005
2023-03-23 23-27-57-017665,0,0,1530,1470,178.857,-12.926,-0.61,1.11,-9.7,-6.55,-3.44,161.39,36.18784000000002
2023-03-23 23-27-57-241849,0,0,1530,1470,178.857,-12.926,-0.59,1.12,-9.71,-6.52,-3.45,161.52,36.31784000000005
2023-03-23 23-27-57-465699,0,0,1530,1470,178.857,-12.926,-0.59,1.11,-9.71,-6.54,-4.09,161.81,36.60784000000004
2023-03-23 23-27-57-690115,0,0,1530,1470,178.945,-12.926,-0.69,1.12,-9.67,-6.61,-4.29,161.96,36.757840000000044
2023-03-23 23-27-57-913486,0,0,1530,1470,178.857,-12.926,-0.69,1.15,-9.66,-6.61,-3.87,162.23,37.027840000000026
2023-03-23 23-27-58-137585,0,0,1530,1470,178.857,-12.926,-0.6,1.12,-9.69,-6.52,-3.56,162.07,36.86784000000003
2023-03-23 23-27-58-361546,0,0,1530,1470,178.857,-12.926,-0.57,1.08,-9.7,-6.47,-3.27,161.74,36.537840000000045
2023-03-23 23-27-58-585608,0,0,1530,1470,178.857,-12.926,-0.53,1.12,-9.71,-6.49,-3.29,161.75,36.547840000000036
2023-03-23 23-27-58-809830,0,0,1530,1470,178.857,-12.926,-0.58,1.14,-9.66,-6.57,-3.81,161.78,36.57784000000004
2023-03-23 23-27-59-033854,0,0,1530,1470,178.857,-12.926,-0.63,1.13,-9.67,-6.68,-3.76,161.88,36.67784000000003
2023-03-23 23-27-59-257485,0,0,1530,1470,178.857,-12.926,-0.58,1.16,-9.68,-6.73,-3.32,162.0,36.797840000000036
2023-03-23 23-27-59-481787,0,0,1530,1470,178.857,-12.926,-0.57,1.14,-9.67,-6.69,-3.22,161.68,36.47784000000004
2023-03-23 23-27-59-705938,0,0,1530,1470,178.857,-12.926,-0.53,1.14,-9.7,-6.68,-3.13,161.46,36.257840000000044
