Timestamp_cmd,imu_cmd
2023-01-13 09:47:26:7,0
2023-01-13 09:47:26:17,0
2023-01-13 09:47:26:27,0
2023-01-13 09:47:26:37,0
2023-01-13 09:47:26:47,0
2023-01-13 09:47:26:57,0
2023-01-13 09:47:26:67,0
2023-01-13 09:47:26:77,0
2023-01-13 09:47:26:87,0
2023-01-13 09:47:26:97,0
2023-01-13 09:47:26:107,0
2023-01-13 09:47:26:117,0
2023-01-13 09:47:26:127,0
2023-01-13 09:47:26:137,0
2023-01-13 09:47:26:147,0
2023-01-13 09:47:26:157,0
2023-01-13 09:47:26:167,0
2023-01-13 09:47:26:177,0
2023-01-13 09:47:26:187,0
2023-01-13 09:47:26:197,0
2023-01-13 09:47:26:207,0
2023-01-13 09:47:26:217,0
2023-01-13 09:47:26:227,0
2023-01-13 09:47:26:237,0
2023-01-13 09:47:26:247,0
2023-01-13 09:47:26:257,0
2023-01-13 09:47:26:267,0
2023-01-13 09:47:26:277,0
2023-01-13 09:47:26:287,0
2023-01-13 09:47:26:297,0
2023-01-13 09:47:26:307,0
2023-01-13 09:47:26:317,0
2023-01-13 09:47:26:327,0
2023-01-13 09:47:26:337,0
2023-01-13 09:47:26:347,0
2023-01-13 09:47:26:357,0
2023-01-13 09:47:26:367,0
2023-01-13 09:47:26:377,0
2023-01-13 09:47:26:387,0
2023-01-13 09:47:26:397,0
2023-01-13 09:47:26:407,0
2023-01-13 09:47:26:417,0
2023-01-13 09:47:26:427,0
2023-01-13 09:47:26:437,0
2023-01-13 09:47:26:447,0
2023-01-13 09:47:26:457,0
2023-01-13 09:47:26:467,0
2023-01-13 09:47:26:477,0
2023-01-13 09:47:26:487,0
2023-01-13 09:47:26:497,0
2023-01-13 09:47:26:507,0
2023-01-13 09:47:26:517,0
2023-01-13 09:47:26:527,0
2023-01-13 09:47:26:537,0
2023-01-13 09:47:26:547,0
2023-01-13 09:47:26:557,0
2023-01-13 09:47:26:567,0
2023-01-13 09:47:26:577,0
2023-01-13 09:47:26:587,0
2023-01-13 09:47:26:597,0
2023-01-13 09:47:26:607,0
2023-01-13 09:47:26:617,0
2023-01-13 09:47:26:627,0
2023-01-13 09:47:26:637,0
2023-01-13 09:47:26:647,0
2023-01-13 09:47:26:657,0
2023-01-13 09:47:26:667,0
2023-01-13 09:47:26:677,0
2023-01-13 09:47:26:687,0
2023-01-13 09:47:26:697,0
2023-01-13 09:47:26:707,0
2023-01-13 09:47:26:717,0
2023-01-13 09:47:26:727,0
2023-01-13 09:47:26:737,0
2023-01-13 09:47:26:747,0
2023-01-13 09:47:26:757,0
2023-01-13 09:47:26:767,0
2023-01-13 09:47:26:777,0
2023-01-13 09:47:26:787,0
2023-01-13 09:47:26:797,0
2023-01-13 09:47:26:807,0
2023-01-13 09:47:26:817,0
2023-01-13 09:47:26:827,0
2023-01-13 09:47:26:837,0
2023-01-13 09:47:26:847,0
2023-01-13 09:47:26:857,0
2023-01-13 09:47:26:867,0
2023-01-13 09:47:26:877,0
2023-01-13 09:47:26:887,0
2023-01-13 09:47:26:897,0
2023-01-13 09:47:26:907,0
2023-01-13 09:47:26:917,0
2023-01-13 09:47:26:927,0
2023-01-13 09:47:26:937,0
2023-01-13 09:47:26:947,0
2023-01-13 09:47:26:957,0
2023-01-13 09:47:26:967,0
2023-01-13 09:47:26:977,0
2023-01-13 09:47:26:987,0
2023-01-13 09:47:26:997,0
2023-01-13 09:47:27:7,0
2023-01-13 09:47:27:17,0
2023-01-13 09:47:27:27,0
2023-01-13 09:47:27:37,0
2023-01-13 09:47:27:47,0
2023-01-13 09:47:27:57,0
2023-01-13 09:47:27:67,0
2023-01-13 09:47:27:77,0
2023-01-13 09:47:27:87,0
2023-01-13 09:47:27:97,0
2023-01-13 09:47:27:107,0
2023-01-13 09:47:27:117,0
2023-01-13 09:47:27:127,0
2023-01-13 09:47:27:137,0
2023-01-13 09:47:27:147,0
2023-01-13 09:47:27:157,0
2023-01-13 09:47:27:167,0
2023-01-13 09:47:27:177,0
