Timestamp_cmd,imu_cmd
2023-02-16 05:31:24:117,0
2023-02-16 05:31:24:127,0
2023-02-16 05:31:24:137,0
2023-02-16 05:31:24:147,0
2023-02-16 05:31:24:157,0
2023-02-16 05:31:24:168,0
2023-02-16 05:31:24:177,0
2023-02-16 05:31:24:187,0
2023-02-16 05:31:24:197,0
2023-02-16 05:31:24:207,0
2023-02-16 05:31:24:217,0
2023-02-16 05:31:24:227,0
2023-02-16 05:31:24:238,0
2023-02-16 05:31:24:247,0
2023-02-16 05:31:24:257,0
2023-02-16 05:31:24:267,0
2023-02-16 05:31:24:277,0
2023-02-16 05:31:24:287,0
2023-02-16 05:31:24:297,0
2023-02-16 05:31:24:307,0
2023-02-16 05:31:24:317,0
2023-02-16 05:31:24:327,0
2023-02-16 05:31:24:337,0
2023-02-16 05:31:24:347,0
2023-02-16 05:31:24:357,0
2023-02-16 05:31:24:367,0
2023-02-16 05:31:24:377,0
2023-02-16 05:31:24:387,0
2023-02-16 05:31:24:397,0
2023-02-16 05:31:24:407,0
2023-02-16 05:31:24:417,0
2023-02-16 05:31:24:427,0
2023-02-16 05:31:24:437,0
2023-02-16 05:31:24:447,0
2023-02-16 05:31:24:457,0
2023-02-16 05:31:24:467,0
2023-02-16 05:31:24:477,0
2023-02-16 05:31:24:487,0
2023-02-16 05:31:24:497,0
2023-02-16 05:31:24:507,0
2023-02-16 05:31:24:518,0
2023-02-16 05:31:24:527,0
2023-02-16 05:31:24:537,0
2023-02-16 05:31:24:547,0
2023-02-16 05:31:24:557,0
2023-02-16 05:31:24:568,0
2023-02-16 05:31:24:577,0
2023-02-16 05:31:24:587,0
2023-02-16 05:31:24:597,0
2023-02-16 05:31:24:608,0
2023-02-16 05:31:24:618,0
2023-02-16 05:31:24:627,0
2023-02-16 05:31:24:637,0
2023-02-16 05:31:24:648,0
2023-02-16 05:31:24:658,0
2023-02-16 05:31:24:668,0
2023-02-16 05:31:24:677,0
2023-02-16 05:31:24:687,0
